"COUNTY","ZIPCODE","POPULATION","SERVICE_CONNECTIONS","VIOLATION_TYPE_NAME","ANALYTE_NAME","RESULT","MCL","ENF_ACTION_TYPE_ISSUED","year_violation","daystaken"
"BUTTE",95928,100,33,"MCL,  AVERAGE","ARSENIC",".014 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",364
"COLUSA",95950,381,123,"MCL,  AVERAGE","ARSENIC",".02580000 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",91
"COLUSA",95950,381,123,"MCL,  AVERAGE","ARSENIC","24.6 UG/L","10 UG/L","RETURN TO COMPLIANCE","2013",90
"COLUSA",95950,381,123,"MCL,  AVERAGE","ARSENIC","24.3 UG/L","10 UG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",89
"COLUSA",95950,381,123,"MCL,  AVERAGE","ARSENIC","24.0 UG/L","10 UG/L","RETURN TO COMPLIANCE","2015",90
"COLUSA",95950,381,123,"MCL,  AVERAGE","ARSENIC","23.8 UG/L","10 UG/L","RETURN TO COMPLIANCE","2015",89
"COLUSA",95950,381,123,"MCL,  AVERAGE","ARSENIC","24 UG/L","10 UG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"COLUSA",95950,381,123,"MCL,  AVERAGE","ARSENIC","25.1 UG/L","10 UG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",90
"FRESNO",93602,193,69,"MCL,  AVERAGE","ARSENIC",".01380000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"FRESNO",93602,193,69,"MCL,  AVERAGE","COMBINED URANIUM","24.8 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"FRESNO",93602,193,69,"MCL,  AVERAGE","COMBINED URANIUM","30.3 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"FRESNO",93602,193,69,"MCL,  AVERAGE","COMBINED URANIUM","35.5 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",90
"FRESNO",93657,483,6,"MCL, SINGLE SAMPLE","NITRATE","57.0 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"FRESNO",93657,483,6,"MCL, SINGLE SAMPLE","NITRATE","55 MG/L","45 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",90
"FRESNO",93657,483,6,"MCL,  AVERAGE","NITRATE","58 MG/L","45 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"FRESNO",93657,483,6,"MCL,  AVERAGE","NITRATE","14.8 MG/L","10 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",90
"FRESNO",93657,483,6,"MCL, SINGLE SAMPLE","NITRATE","16 MG/L","10 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",91
"FRESNO",93706,250,33,"MCL,  AVERAGE","COMBINED URANIUM","21.1 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"FRESNO",93706,80,37,"MCL,  AVERAGE","COMBINED URANIUM","21.8 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"FRESNO",93706,80,37,"MCL,  AVERAGE","COMBINED URANIUM","21.0 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"FRESNO",93621,78,2,"MCL,  AVERAGE","COMBINED URANIUM","22.0 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"FRESNO",93621,78,2,"MCL,  AVERAGE","COMBINED URANIUM","21.5 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",90
